time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
71828;0;3350;6;-59;59;2541.335205;1;-81;-856;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.6;23;18;28;20;20;26;24;22;30;34;20;24;26;20;30;28;18
72327;0;3350;6;-59;59;2535.578369;1;-81;-790;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;20;30;20;20;30;26;20;30;34;18;22;26;16;36;24;16
72826;0;3350;6;-59;59;2539.389893;1;-81;-840;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;20;30;20;14;28;26;22;30;34;20;20;26;18;38;26;16
73325;0;3350;6;-59;59;2541.209961;1;-81;-840;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;22;24;28;16;30;26;22;30;34;20;22;26;18;34;26;14
73824;0;3350;6;-58;58;2543.250000;1;-82;-806;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;18;18;24;16;32;24;22;30;34;18;22;26;18;34;26;16
74323;0;3350;6;-58;58;2541.451416;1;-82;-806;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;22;18;28;18;30;26;24;30;32;20;22;26;18;32;24;26
74822;0;3350;6;-58;58;2540.544678;1;-81;-823;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.5;23;18;18;22;16;30;26;26;30;34;18;24;26;18;34;26;14
75321;0;3350;6;-58;58;2540.934082;1;-81;-787;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;24;18;22;18;32;26;32;30;34;20;18;24;20;36;24;18
75820;0;3350;6;-58;58;2542.378906;1;-81;-787;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;20;18;20;14;32;28;32;30;32;20;20;26;18;34;24;16
76319;0;3350;6;-58;58;2539.312744;1;-81;-787;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;24;20;22;18;30;26;30;30;34;20;18;26;16;36;24;16
